Date,Value
2020-01-02,-0.071863954
2020-01-03,-0.504870109
2020-01-06,-0.364449548
2020-01-07,-0.358504568
2020-01-08,-0.261279897
2020-01-09,0.027685566
2020-01-10,-1.260153774
2020-01-13,-0.714811977
2020-01-14,-0.373355042
2020-01-15,-0.451269278
2020-01-16,0.233284168
2020-01-17,0.183850533
2020-01-21,-0.419141982
2020-01-22,-0.583643811
2020-01-23,-0.569720376
2020-01-24,-1.935449338
2020-01-27,-1.034487761
2020-01-28,-0.129064663
2020-01-29,-0.880670953
2020-01-30,-0.928833353
2020-01-31,-1.570654964
2020-02-03,-0.678048791
2020-02-04,-0.27371835
2020-02-05,-0.54040345
2020-02-06,-0.335685181
2020-02-07,-0.993183694
2020-02-10,-0.280492411
2020-02-11,-0.198343437
2020-02-12,-0.264450294
2020-02-13,-0.571961073
2020-02-14,-0.926226823
2020-02-18,-0.655600784
2020-02-19,-0.081027029
2020-02-20,-0.999665141
2020-02-21,-0.820633293
2020-02-24,-1.205677576
2020-02-25,-0.995958977
2020-02-26,-0.999968102
2020-02-27,-0.770521585
2020-02-28,-0.743379993
2020-03-02,-0.251335988
2020-03-03,-0.377705614
2020-03-04,-0.264007785
2020-03-05,-0.52813195
2020-03-06,-0.893011377
2020-03-09,-0.636214562
2020-03-10,-0.464499082
2020-03-11,-0.500516785
2020-03-12,-0.442619589
2020-03-13,-0.364067587
2020-03-16,-0.60321343
2020-03-17,-0.215270361
2020-03-18,-0.527527916
2020-03-19,-0.14122523
2020-03-20,-0.535926926
2020-03-23,-0.362331497
2020-03-24,-0.181773412
2020-03-25,-0.239245055
2020-03-26,-0.251917642
2020-03-27,-0.294309024
2020-03-30,-0.128906883
2020-03-31,-0.457982289
2020-04-01,-0.635579763
2020-04-02,-0.413096717
2020-04-03,-0.816280444
2020-04-06,-0.125813141
2020-04-07,-0.508080209
2020-04-08,-0.344704993
2020-04-09,-0.462554273
2020-04-13,-0.547079392
2020-04-14,-0.19903175
2020-04-15,-0.756989457
2020-04-16,-0.335973957
2020-04-17,-0.265762731
2020-04-20,-1.178162764
2020-04-21,-0.677926479
2020-04-22,-0.29237374
2020-04-23,-0.605899514
2020-04-24,-0.85830518
2020-04-27,-0.116443524
2020-04-28,-0.522230157
2020-04-29,-0.023943947
2020-04-30,-0.481647202
2020-05-01,-0.958189163
2020-05-04,-0.58208673
2020-05-05,-0.51061808
2020-05-06,-1.526004163
2020-05-07,-0.562199943
2020-05-08,-0.620391113
2020-05-11,-0.54389957
2020-05-12,-1.355300318
2020-05-13,-1.68567937
2020-05-14,-0.809592066
2020-05-15,-0.486461565
2020-05-18,0.008012567
2020-05-19,-0.5840978
2020-05-20,-0.665316276
2020-05-21,-0.753271694
2020-05-22,-0.558522187
2020-05-26,-1.101643507
2020-05-27,-1.360753829
2020-05-28,-0.969608341
2020-05-29,-1.096332935
2020-06-01,-0.38702946
2020-06-02,-0.515445589
2020-06-03,-0.14899809
2020-06-04,-0.694482866
2020-06-05,0.101088828
2020-06-08,-0.136359671
2020-06-09,-0.304936206
2020-06-10,-0.5925184
2020-06-11,-1.051806424
2020-06-12,-1.497375822
2020-06-15,-0.640828328
2020-06-16,-0.330559845
2020-06-17,-0.766986456
2020-06-18,-0.261190964
2020-06-19,-1.574708068
2020-06-22,-0.382006253
2020-06-23,-0.434671211
2020-06-24,-2.007294505
2020-06-25,-0.646844603
2020-06-26,-1.539239312
2020-06-29,-0.693483572
2020-06-30,-0.096872749
2020-07-01,-0.268671903
2020-07-02,-1.128000831
2020-07-06,-0.395497653
2020-07-07,-0.598514456
2020-07-08,-1.317343433
2020-07-09,-1.31498116
2020-07-10,-1.070440655
2020-07-13,-2.229585013
2020-07-14,-1.296616356
2020-07-15,-0.864010721
2020-07-16,-0.333220248
2020-07-17,-0.338183046
2020-07-20,-0.243621949
2020-07-21,-0.594478273
2020-07-22,-0.777423015
2020-07-23,-1.29104477
2020-07-24,-1.195341599
2020-07-27,-0.555192164
2020-07-28,-0.557445425
2020-07-29,-0.41982643
2020-07-30,-0.800178745
2020-07-31,-1.393887962
2020-08-03,-0.208571235
2020-08-04,-0.522768234
2020-08-05,-0.438533166
2020-08-06,-0.374909877
2020-08-07,-1.171999483
2020-08-10,-1.404539489
2020-08-11,-1.387271239
2020-08-12,-0.209474668
2020-08-13,-0.366393557
2020-08-14,-1.006025522
2020-08-17,-0.185966618
2020-08-18,-0.913091623
2020-08-19,-1.313805227
2020-08-20,-0.436092491
2020-08-21,-0.344979047
2020-08-24,-0.711957474
2020-08-25,-0.3271974
2020-08-26,-0.005222437
2020-08-27,-0.396002043
2020-08-28,0.010862004
2020-08-31,-0.604256485
2020-09-01,0.013377578
2020-09-02,-0.214674357
2020-09-03,-1.624679357
2020-09-04,-1.612082696
2020-09-08,-0.858779108
2020-09-09,-0.309691185
2020-09-10,-1.323550124
2020-09-11,-1.623377361
2020-09-14,-0.667288473
2020-09-15,-0.374825532
2020-09-16,-1.018946111
2020-09-17,-0.488126233
2020-09-18,-1.383708595
2020-09-21,-1.614328899
2020-09-22,-0.418909302
2020-09-23,-2.19715498
2020-09-24,-0.714121274
2020-09-25,-0.751553353
2020-09-28,-0.059502548
2020-09-29,-0.353820983
2020-09-30,-0.915618613
2020-10-01,-0.269724294
2020-10-02,-0.809009734
2020-10-05,-0.395318063
2020-10-06,-0.786475215
2020-10-07,-0.030326604
2020-10-08,-0.159693347
2020-10-09,-0.104388118
2020-10-12,0.241618725
2020-10-13,-0.331878458
2020-10-14,-1.398458081
2020-10-15,-0.497978737
2020-10-16,-0.582910335
2020-10-19,-2.270108723
2020-10-20,-0.395696377
2020-10-21,-1.125943528
2020-10-22,-0.829278621
2020-10-23,-0.899823015
2020-10-26,-1.574575428
2020-10-27,-0.46902609
2020-10-28,-1.76704264
2020-10-29,-0.303914809
2020-10-30,-1.544848191
2020-11-02,-1.137553031
2020-11-03,-0.362997816
2020-11-04,-0.280177329
2020-11-05,-0.139264611
2020-11-06,-0.446068199
2020-11-09,-0.561612214
2020-11-10,-0.884827792
2020-11-11,-0.744789982
2020-11-12,-1.293806919
