timestamp,C,P,netDelta
2020-09-01 09:35:00,14470.10019999999,-14051.892900000017,418.20729999997457
2020-09-01 09:40:00,25928.7527,-22707.6637,3221.0890000000004
2020-09-01 09:45:00,38871.18760000002,-33425.190700000014,5445.996900000013
2020-09-01 09:50:00,47413.61649999998,-40335.762400000036,7077.854099999939
2020-09-01 09:55:00,54826.47430000008,-44058.15889999993,10768.315400000143
2020-09-01 10:00:00,59199.5496,-48627.16460000007,10572.38499999993
2020-09-01 10:05:00,70448.78029999981,-55818.398300000066,14630.381999999736
2020-09-01 10:10:00,73005.19759999984,-67341.28680000005,5663.910799999794
2020-09-01 10:15:00,77762.80819999993,-75702.41329999987,2060.394900000043
2020-09-01 10:20:00,87427.08910000003,-77181.85489999996,10245.234200000063
2020-09-01 10:25:00,115974.50549999994,-76659.98349999974,39314.5220000002
2020-09-01 10:30:00,131574.40680000006,-80104.63120000005,51469.77559999998
2020-09-01 10:35:00,133486.38050000012,-87223.65070000029,46262.72979999983
2020-09-01 10:40:00,140466.21070000005,-93632.21480000007,46833.99589999997
2020-09-01 10:45:00,141407.63619999983,-101853.5841999999,39554.051999999974
2020-09-01 10:50:00,146220.15670000034,-106729.19550000006,39490.96120000031
2020-09-01 10:55:00,144999.6641999999,-119034.42829999975,25965.23590000016
2020-09-01 11:00:00,149607.01900000015,-129381.37750000012,20225.641500000027
2020-09-01 11:05:00,155873.81920000038,-133178.4708,22695.348400000366
2020-09-01 11:10:00,164216.33630000008,-132536.10179999992,31680.234500000195
2020-09-01 11:15:00,171633.89119999975,-132416.19280000025,39217.6983999995
2020-09-01 11:20:00,176584.69059999986,-136070.00100000034,40514.68959999952
2020-09-01 11:25:00,173872.05819999974,-154933.67250000028,18938.38569999946
2020-09-01 11:30:00,185553.01699999988,-155360.72429999957,30192.29270000031
2020-09-01 11:35:00,190000.12520000016,-156975.6499999999,33024.47520000025
2020-09-01 11:40:00,194091.00299999985,-159476.02050000007,34614.98249999978
2020-09-01 11:45:00,196759.83199999962,-162352.33639999927,34407.495600000286
2020-09-01 11:50:00,201632.3524999998,-162289.39889999962,39342.95360000021
2020-09-01 11:55:00,203986.17270000002,-167754.55420000025,36231.618499999815
2020-09-01 12:00:00,204817.27789999972,-170652.93459999992,34164.343299999826
2020-09-01 12:05:00,215515.9253000001,-169054.09059999962,46461.834700000436
2020-09-01 12:10:00,221713.20610000013,-167447.37800000006,54265.82810000007
2020-09-01 12:15:00,228505.1806000004,-168389.69299999956,60115.48760000084
2020-09-01 12:20:00,229939.96739999988,-170876.78879999972,59063.178600000225
2020-09-01 12:25:00,225871.4184,-178630.83469999966,47240.583700000345
2020-09-01 12:30:00,228661.72110000032,-178940.63039999988,49721.09070000038
2020-09-01 12:35:00,234806.69550000015,-175819.32769999953,58987.367800000655
2020-09-01 12:40:00,231950.81529999964,-182460.9631000003,49489.852199999325
2020-09-01 12:45:00,235319.10030000034,-184609.66750000004,50709.4328000003
2020-09-01 12:50:00,239776.3478000001,-188538.45550000004,51237.892300000036
2020-09-01 12:55:00,247049.04929999996,-186799.70899999986,60249.340300000076
2020-09-01 13:00:00,254315.52489999981,-185122.42649999988,69193.09839999987
2020-09-01 13:05:00,249639.28870000032,-192494.23789999992,57145.05080000038
2020-09-01 13:10:00,251112.20039999989,-194258.54959999985,56853.65080000006
2020-09-01 13:15:00,251257.33570000035,-200097.02079999977,51160.31490000059
2020-09-01 13:20:00,255986.29620000065,-198130.3189999997,57855.977200000954
2020-09-01 13:25:00,258597.78300000046,-198446.88410000008,60150.89890000035
2020-09-01 13:30:00,259195.94679999983,-199886.73929999996,59309.207499999924
2020-09-01 13:35:00,258537.74130000055,-203696.1719999997,54841.569300000876
2020-09-01 13:40:00,271655.09500000085,-197765.83879999965,73889.2562000012
2020-09-01 13:45:00,288669.77649999945,-196052.33230000007,92617.4441999994
2020-09-01 13:50:00,291893.1206999995,-200304.6861,91588.43459999947
2020-09-01 13:55:00,288224.3631999996,-211487.93339999983,76736.42979999975
2020-09-01 14:00:00,291979.6697000005,-212266.08079999976,79713.58890000072
2020-09-01 14:05:00,318406.42260000017,-213741.93579999948,104664.48680000068
2020-09-01 14:10:00,324191.54559999984,-213107.6387999994,111083.90680000043
2020-09-01 14:15:00,333443.27239999967,-215061.44690000036,118381.8254999994
2020-09-01 14:20:00,337610.16049999977,-215671.93070000032,121938.22979999945
2020-09-01 14:25:00,344359.1014999996,-216355.85079999964,128003.25069999995
2020-09-01 14:30:00,351033.9800999997,-221245.7507999999,129788.2292999998
2020-09-01 14:35:00,359408.8649999989,-228637.77120000005,130771.09379999891
2020-09-01 14:40:00,367479.60070000007,-229140.38979999968,138339.21090000038
2020-09-01 14:45:00,369045.1545999993,-237363.5379999998,131681.61659999946
2020-09-01 14:50:00,376345.2811999999,-241082.3450999997,135262.9361000002
2020-09-01 14:55:00,382715.4837999999,-241410.88109999988,141304.60269999993
2020-09-01 15:00:00,391122.4110999998,-243687.98149999967,147434.42960000012
2020-09-01 15:05:00,387660.9304999996,-251596.77299999975,136064.15749999974
2020-09-01 15:10:00,396646.9967000001,-250443.46550000022,146203.53119999982
2020-09-01 15:15:00,382873.06289999967,-273296.8916000001,109576.17129999957
2020-09-01 15:20:00,397914.8759000009,-269351.72029999987,128563.15560000106
2020-09-01 15:25:00,409359.99660000094,-266481.9391,142878.05750000093
2020-09-01 15:30:00,400272.8971999997,-284956.16649999924,115316.73070000055
2020-09-01 15:35:00,403087.6427000008,-294506.2145999996,108581.42810000123
2020-09-01 15:40:00,412608.37189999927,-296167.69119999965,116440.68069999966
2020-09-01 15:45:00,448711.14610000036,-282148.73549999995,166562.41060000047
2020-09-01 15:50:00,433959.01129999966,-302516.85049999994,131442.16079999972
2020-09-01 15:55:00,448733.5250000006,-305234.5273999996,143498.99760000105
2020-09-01 16:00:00,513575.33619999955,-280267.04899999977,233308.2871999997
2020-09-01 16:05:00,514203.7722999996,-289379.79100000014,224823.9812999994
