entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
-10,0,-100,0.618881119,572,45.7596,0.079999301,1.904100041,70.88286713,35
-15,-5,-100,0.619389587,557,43.8952,0.078806463,1.856867731,65.58348294,35
-15,0,-100,0.58984375,512,56.2506,0.109864453,1.999094405,75.67382813,40
-20,-10,-100,0.61509434,530,4.0129,0.007571509,1.658750156,61.25471698,30
-20,-5,-100,0.588235294,493,22.7012,0.046047059,1.835000941,69.83772819,35
-20,0,-100,0.558695652,460,23.7976,0.051733913,1.978676666,79.06521739,40
-25,-15,-100,0.592369478,498,-4.7495,-0.009537149,1.878258958,56.96787149,30
-25,-10,-100,0.556291391,453,-11.3171,-0.024982561,1.730759401,66.81015453,35
-25,-5,-100,0.543778802,434,6.7722,0.015604147,1.851161529,73.80184332,35
-25,0,-100,0.518159806,413,10.4116,0.025209685,1.958078286,81.88861985,45
-30,-20,-100,0.590534979,486,5.737,0.011804527,1.80427346,50.69958848,25
-30,-15,-100,0.551487414,437,-10.471,-0.023961098,1.902328146,60.52631579,30
-30,-10,-100,0.526699029,412,-21.4986,-0.052181068,1.75021041,67.87621359,35
-30,-5,-100,0.518891688,397,-10.9873,-0.027675819,1.831550859,74.09319899,35
-30,0,-100,0.497382199,382,-10.058,-0.026329843,1.930300891,81.96335079,45
-35,-25,-100,0.6,480,21.167,0.044097917,1.662695491,44.09375,25
-35,-20,-100,0.560185185,432,19.528,0.045203704,1.858803023,53.11342593,27.5
-35,-15,-100,0.53,400,10.179,0.0254475,1.956933688,61.5875,30
-35,-10,-100,0.509138381,383,-3.4566,-0.009025065,1.79233038,68.36814621,35
-35,-5,-100,0.504043127,371,5.3157,0.014328032,1.876014227,74.20485175,40
-35,0,-100,0.484679666,359,3.406,0.009487465,1.955616725,81.69916435,45
-40,-30,-100,0.591517857,448,27.652,0.061723214,1.555570712,39.35267857,22.5
-40,-25,-100,0.556372549,408,20.552,0.050372549,1.695288567,46.69117647,27.5
-40,-20,-100,0.521390374,374,12.482,0.033374332,1.865146986,54.83957219,30
-40,-15,-100,0.49859944,357,7.96,0.022296919,1.963915353,62.01680672,30
-40,-10,-100,0.48115942,345,-13.1286,-0.038053913,1.786841896,67.89855072,35
-40,-5,-100,0.476047904,334,-12.0873,-0.036189521,1.86985329,73.59281437,35
-40,0,-100,0.457055215,326,-13.971,-0.042855828,1.85385482,79.47852761,45
-45,-35,-100,0.58432304,421,25.9762,0.061701188,1.436812338,35.14251781,20
-45,-30,-100,0.548969072,388,25.283,0.065162371,1.569544219,41.2628866,25
-45,-25,-100,0.512396694,363,22.173,0.061082645,1.710948089,47.87878788,30
