entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time
90,80,100,0.576923077,78,3.536,0.045333333,0.365965567,12.75641026
80,70,90,0.517241379,116,4.272,0.036827586,0.308191817,12.84482759
80,70,100,0.592,125,6.03,0.04824,0.392790727,18.44
90,70,100,0.513888889,72,2.413,0.033513889,0.409982205,18.75
70,60,80,0.452830189,159,3.26,0.020503145,0.397165748,13.23899371
70,60,90,0.564705882,170,8.172,0.048070588,0.436624337,19.58823529
70,60,100,0.62962963,162,10.407,0.064240741,0.455551346,25.0617284
80,60,90,0.453703704,108,6.535,0.060509259,0.414393634,18.05555556
80,60,100,0.535087719,114,8.145,0.071447368,0.494209677,25.04385965
90,60,100,0.47826087,69,3.393,0.049173913,0.468537335,24.20289855
60,50,70,0.455813953,215,8.393,0.039037209,0.391315978,12.86046512
60,50,80,0.527659574,235,11.286,0.048025532,0.449873524,18.74468085
60,50,90,0.604545455,220,16.566,0.0753,0.487661048,25.25
60,50,100,0.661764706,204,18.811,0.092210784,0.50807567,30.80882353
70,50,80,0.402684564,149,6.136,0.041181208,0.445646934,18.52348993
70,50,90,0.519736842,152,11.711,0.077046053,0.506138548,27.00657895
70,50,100,0.597222222,144,13.966,0.096986111,0.520412249,33.68055556
80,50,90,0.413461538,104,8.985,0.086394231,0.477744832,23.31730769
80,50,100,0.504672897,107,10.58,0.098878505,0.555958338,31.82242991
90,50,100,0.426470588,68,2.491,0.036632353,0.530766663,31.83823529
50,40,60,0.457446809,282,4.236,0.015021277,0.359181245,13.26241135
50,40,70,0.49201278,313,15.251,0.04872524,0.447958547,18.78594249
50,40,80,0.56996587,293,17.545,0.059880546,0.498061828,25.29010239
50,40,90,0.626865672,268,22.426,0.083679104,0.528198672,31.82835821
50,40,100,0.672,250,24.851,0.099404,0.532655469,37.02
60,40,70,0.37745098,204,8.784,0.043058824,0.463672996,17.35294118
60,40,80,0.474418605,215,13.667,0.063567442,0.5211414,24.79069767
60,40,90,0.548717949,195,18.412,0.094420513,0.558847846,33.48717949
60,40,100,0.608938547,179,20.747,0.115905028,0.57740723,40.58659218
70,40,80,0.373239437,142,8.502,0.059873239,0.516681732,23.48591549
70,40,90,0.489361702,141,13.693,0.097113475,0.570253554,34.18439716
70,40,100,0.571428571,133,16.038,0.120586466,0.581639013,41.87969925
80,40,90,0.393939394,99,8.236,0.083191919,0.53016666,30.55555556
80,40,100,0.495049505,101,9.886,0.097881188,0.590447547,40.3960396
90,40,100,0.402985075,67,1.987,0.029656716,0.521732183,35.82089552
40,30,50,0.420245399,326,7.273,0.022309816,0.408942748,14.3404908
40,30,60,0.430851064,376,2.108,0.005606383,0.47822267,20
40,30,70,0.484507042,355,14.645,0.041253521,0.541451328,26.85915493
40,30,80,0.541284404,327,16.424,0.0502263,0.583302643,33.80733945
40,30,90,0.591216216,296,21.651,0.07314527,0.622180863,41.08108108
40,30,100,0.623188406,276,23.986,0.086905797,0.632149561,46.66666667
50,30,60,0.366141732,254,-1.249,-0.004917323,0.438358568,18.56299213
50,30,70,0.418181818,275,9.587,0.034861818,0.521232757,25.56363636
50,30,80,0.498023715,253,12.456,0.049233202,0.575087106,33.93280632
50,30,90,0.561946903,226,17.402,0.077,0.621855546,42.96460177
50,30,100,0.610576923,208,19.827,0.095322115,0.635603481,50.16826923
60,30,70,0.357142857,196,9.52,0.048571429,0.51494638,22.85714286
60,30,80,0.458128079,203,15.154,0.074650246,0.57423461,31.94581281
60,30,90,0.524861878,181,19.294,0.106596685,0.627048818,42.54143646
