entry_nope,exit_nope,window,stop_loss_nope,success_rate,total_trades, total_PNL , mean_of_returns , standard_deviation , average_hold_time ,median_hold_time,day,dayNum
80,70,10,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
85,75,10,1000,100.0%,2, 1.75 , 0.88 , 0.91 , 10.00 ,10,Tuesday, 2 
90,80,10,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,65,15,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
85,70,15,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
90,75,15,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,60,20,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
85,65,20,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
90,70,20,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
90,70,20,1000,100.0%,7, 1.54 , 0.22 , 0.33 , 82.86 ,65,Thursday, 4 
80,55,25,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
85,60,25,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
90,65,25,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
90,65,25,1000,100.0%,7, 1.97 , 0.28 , 0.49 , 90.00 ,65,Thursday, 4 
95,70,25,1000,100.0%,6, 1.79 , 0.30 , 0.32 , 95.00 ,65,Thursday, 4 
80,50,30,1000,100.0%,2, 2.34 , 1.17 , 0.49 , 17.50 ,17.5,Tuesday, 2 
85,55,30,1000,100.0%,2, 2.15 , 1.07 , 0.63 , 15.00 ,15,Tuesday, 2 
90,60,30,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
95,65,30,1000,100.0%,6, 2.22 , 0.37 , 0.49 , 103.33 ,65,Thursday, 4 
80,45,35,1000,100.0%,2, 2.34 , 1.17 , 0.49 , 17.50 ,17.5,Tuesday, 2 
85,50,35,1000,100.0%,2, 2.34 , 1.17 , 0.49 , 17.50 ,17.5,Tuesday, 2 
90,55,35,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,40,40,1000,100.0%,2, 2.34 , 1.17 , 0.49 , 17.50 ,17.5,Tuesday, 2 
85,45,40,1000,100.0%,2, 2.34 , 1.17 , 0.49 , 17.50 ,17.5,Tuesday, 2 
90,50,40,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,35,45,1000,100.0%,2, 2.45 , 1.22 , 0.42 , 85.00 ,85,Tuesday, 2 
85,40,45,1000,100.0%,2, 2.34 , 1.17 , 0.49 , 17.50 ,17.5,Tuesday, 2 
90,45,45,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,30,50,1000,100.0%,2, 2.45 , 1.22 , 0.42 , 85.00 ,85,Tuesday, 2 
85,35,50,1000,100.0%,2, 2.45 , 1.22 , 0.42 , 85.00 ,85,Tuesday, 2 
90,40,50,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,25,55,1000,100.0%,2, 2.48 , 1.24 , 0.40 , 90.00 ,90,Tuesday, 2 
85,30,55,1000,100.0%,2, 2.45 , 1.22 , 0.42 , 85.00 ,85,Tuesday, 2 
90,35,55,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,20,60,1000,100.0%,2, 2.67 , 1.33 , 0.26 , 100.00 ,100,Tuesday, 2 
85,25,60,1000,100.0%,2, 2.48 , 1.24 , 0.40 , 90.00 ,90,Tuesday, 2 
90,30,60,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,15,65,1000,100.0%,2, 2.67 , 1.33 , 0.26 , 100.00 ,100,Tuesday, 2 
85,20,65,1000,100.0%,2, 2.67 , 1.33 , 0.26 , 100.00 ,100,Tuesday, 2 
90,25,65,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,10,70,1000,100.0%,2, 2.86 , 1.43 , 0.13 , 120.00 ,120,Tuesday, 2 
85,15,70,1000,100.0%,2, 2.67 , 1.33 , 0.26 , 100.00 ,100,Tuesday, 2 
90,20,70,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,5,75,1000,100.0%,2, 2.86 , 1.43 , 0.13 , 120.00 ,120,Tuesday, 2 
85,10,75,1000,100.0%,2, 2.86 , 1.43 , 0.13 , 120.00 ,120,Tuesday, 2 
90,15,75,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
80,0,80,1000,100.0%,2, 2.94 , 1.47 , 0.07 , 122.50 ,122.5,Tuesday, 2 
85,5,80,1000,100.0%,2, 2.86 , 1.43 , 0.13 , 120.00 ,120,Tuesday, 2 
90,10,80,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
85,0,85,1000,100.0%,2, 2.94 , 1.47 , 0.07 , 122.50 ,122.5,Tuesday, 2 
90,5,85,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
90,0,90,1000,100.0%,1, 1.52 , 1.52 , NaN , 5.00 ,5,Tuesday, 2 
65,55,10,1000,88.2%,17, 6.13 , 0.36 , 0.27 , 24.71 ,25,Tuesday, 2 
90,75,15,1000,87.5%,8, 1.45 , 0.18 , 0.34 , 71.25 ,40,Thursday, 4 
20,10,10,1000,86.9%,61, 25.45 , 0.42 , 0.91 , 70.74 ,40,Tuesday, 2 
65,50,15,1000,86.7%,15, 5.19 , 0.35 , 0.28 , 35.67 ,35,Tuesday, 2 
45,35,10,1000,85.7%,28, 7.29 , 0.26 , 0.51 , 55.18 ,35,Tuesday, 2 
65,45,20,1000,85.7%,14, 5.06 , 0.36 , 0.31 , 41.79 ,37.5,Tuesday, 2 
95,75,20,1000,85.7%,7, 1.70 , 0.24 , 0.35 , 80.00 ,45,Thursday, 4 
90,60,30,1000,85.7%,7, 1.85 , 0.26 , 0.69 , 92.86 ,70,Thursday, 4 
90,55,35,1000,85.7%,7, 2.28 , 0.33 , 0.70 , 94.29 ,70,Thursday, 4 
60,50,10,1000,84.2%,19, 7.09 , 0.37 , 0.40 , 31.32 ,30,Tuesday, 2 
75,65,10,1000,83.3%,6, 1.68 , 0.28 , 0.32 , 15.83 ,15,Tuesday, 2 
60,45,15,1000,83.3%,18, 7.08 , 0.39 , 0.42 , 36.39 ,30,Tuesday, 2 
75,60,15,1000,83.3%,6, 2.63 , 0.44 , 0.41 , 19.17 ,20,Tuesday, 2 
75,55,20,1000,83.3%,6, 2.87 , 0.48 , 0.41 , 20.00 ,22.5,Tuesday, 2 
60,35,25,1000,83.3%,12, 6.99 , 0.58 , 0.53 , 72.08 ,50,Tuesday, 2 
